IssuerId,IssuerId2,BusinessDate,StateCode,SourceName,NetworkName,NetworkURL,custnum,MarketCoverage,DentalOnlyPlan
31319,31319,01-10-2019,VA,SERFF,Delta Dental Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,13,Individual,Yes
38234,38234,01-10-2019,VA,SERFF,QHP PPO_OAMC_Virginia,http://www.aetna.com/individuals-families-health-insurance/buy-insurance/exchange/va.html,13,Individual,Yes
81335,81335,01-10-2019,WI,HIOS,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_WI&planType=DPPO&networkID=2,13,Individual,No
84670,84670,01-10-2019,WI,HIOS,Arise Exclusive,http://www.wecareforwisconsin.com/members/find_a_doctor/narrow,13,SHOP (Small Group),No
84670,84670,01-10-2019,WI,HIOS,Arise Broad,http://www.wecareforwisconsin.com/visitors/find_a_doctor/agree,13,Individual,No
87416,87416,01-10-2019,WI,HIOS,Empower,https://portal.commongroundhealthcare.org/Router.jsp?component=Main&source=Logon&action=ProviderDirectory&NetworkNo=EMPOWER,13,SHOP (Small Group),Yes
87416,87416,01-10-2019,WI,HIOS,Envision,https://portal.commongroundhealthcare.org/Router.jsp?component=Main&source=Logon&action=ProviderDirectory&NetworkNo=ENVISION,13,Individual,Yes
90028,90028,01-10-2019,WI,HIOS,Blue Priority X WI,www.anthem.com,13,SHOP (Small Group),Yes
90028,90028,01-10-2019,WI,HIOS,Blue Priority X WI,www.anthem.com,13,Individual,Yes
90028,90028,01-10-2019,WI,HIOS,Dental Prime,www.anthem.com,13,Individual,No
91058,91058,01-10-2019,WI,HIOS,GundersenSelectSHOP,www.gundersenhealthplan.org/providersearch,13,SHOP (Small Group),No
91058,91058,01-10-2019,WI,HIOS,GundersenPlusSHOP,www.gundersenhealthplan.org/providersearch,13,Individual,Yes
91058,91058,01-10-2019,WI,HIOS,GundersenOneIndividual,www.gundersenhealthplan.org/providersearch,13,SHOP (Small Group),Yes
91604,91604,01-10-2019,WI,HIOS,Humana Dental PPO/Traditional Preferred,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,14,Individual,Yes
94529,94529,01-10-2019,WI,HIOS,Group Health Cooperative of South Central Wisconsin HMO,https://ghcscw.com/SiteCollectionDocuments/Provider_Directory.pdf,13,Individual,Yes
94529,94529,01-10-2019,WI,HIOS,Group Health Cooperative of South Central Wisconsin PPO,https://ghcscw.com/SiteCollectionDocuments/Provider_Directory.pdf,13,SHOP (Small Group),Yes
11269,11269,01-10-2019,WY,HIOS,BlueSelect,http://provider.bcbswy.com,13,Individual,No
37378,37378,01-10-2019,WY,HIOS,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,16,,
47731,47731,01-10-2019,WY,HIOS,DenteMax,http://www2.dentemax.com/,13,,
53189,53189,01-10-2019,WY,HIOS,WINhealth Partners Network,http://www.winhealthplans.com/members/find-a-provider,14,,
83964,83964,01-10-2019,WY,HIOS,Delta Dental Premier Network,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,13,,
38344,38344,01-10-2019,AK,OPM,HeritagePlus,https://www.premera.com/wa/visitor/,14,,
75293,75293,01-10-2019,AR,OPM,True Blue PPO,https://secure.arkansasbluecross.com/providerdirectory/PhysicianSearch.aspx?PlanId=7&INbr1=915011000&INbr2=&Tier=0&coID=&PrvNet=True+Blue+PPO&lFrom=,13,,
76168,76168,01-10-2019,DE,OPM,Highmark DE PPO,Provdir.highmarkbcbsde.com,14,,
49046,49046,01-10-2019,GA,OPM,Pathway X,https://www.bcbsga.com/health-insurance/provider-directory/searchcriteria?brand=bcbsga,15,,
49046,49046,01-10-2019,GA,OPM,Pathway X (with dental),https://www.bcbsga.com/health-insurance/provider-directory/searchcriteria?brand=bcbsga,13,,
36096,36096,01-10-2019,IL,OPM,PPO,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,14,,
17575,17575,01-10-2019,IN,OPM,[Indiana Individual On Exchange Network] Pathway X HMO POS,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,15,,
17575,17575,01-10-2019,IN,OPM,[Indiana Individual On Exchange Network] Pathway X HMO POS (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,,
18558,18558,01-10-2019,KS,OPM,BlueCAP,http://www.bcbsks.com/ProviderDirectory/index_xse.htm,13,,
97176,97176,01-10-2019,LA,OPM,Preferred Care PPO-Vision-Dental,http://www.bcbsla.com/ppo-medical-vision-dental,14,,
48396,48396,01-10-2019,ME,OPM,Pathway X Enhanced,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,,
48396,48396,01-10-2019,ME,OPM,Pathway X,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,,
15560,15560,01-10-2019,MI,OPM,TRUST,http://www.bcbsm.com/index/common/find-a-doctor.html,13,,
32753,32753,01-10-2019,MO,OPM,Pathway X,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,,
30751,30751,01-10-2019,MT,OPM,PPO Network,https://www.bcbsmt.com/Pages/NPFprovsearch.aspx,13,,
96751,96751,01-10-2019,NH,OPM,Pathway X Enhanced,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,Individual,No
96751,96751,01-10-2019,NH,OPM,Pathway X Enhanced (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,SHOP (Small Group),No
75605,75605,01-10-2019,NM,OPM,PPO,https://public.hcsc.net/providerfinder/home.do?corpEntCd=NM1,13,Individual,No
87571,87571,01-10-2019,OK,OPM,Blue Choice PPO,https://public.hcsc.net/providerfinder/home.do?corpEntCd=OK1,13,Individual,No
31609,31609,01-10-2019,PA,OPM,Personal Choice PPO,http://www.ibx.com/individuals/find_provider/index.html,13,Individual,No
53789,53789,01-10-2019,PA,OPM,OPM MSP Value HMO Network,https://www.capbluecross.com/wps/portal/cbc/FindADoctor/FindADoctorExt/!ut/p/b1/04_SjzS0AEJLI0tLQ_0I_ai8xLLM9MSSzPy8xBwQP8os3sgg2NDAwNTVyNLQ1MLAM8jAKcTN2c0o0MQIqCASRYGvk6uBp5ejoaerd6hxaIAxZfoDjYjTb4ADOBoQ0u-lH5Wek58E9Gq4fhSaYky_4FUAcixYAR7X-Hnk56bq50bluLlZZGcGpCsqAgAM6QKk/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,14,Individual,No
53789,53789,01-10-2019,PA,OPM,OPM MSP HMO Network,https://www.capbluecross.com/wps/portal/cbc/FindADoctor/FindADoctorExt/!ut/p/b1/04_SjzS0AEJLI0tLQ_0I_ai8xLLM9MSSzPy8xBwQP8os3sgg2NDAwNTVyNLQ1MLAM8jAKcTN2c0o0MQIqCASRYGvk6uBp5ejoaerd6hxaIAxZfoDjYjTb4ADOBoQ0u-lH5Wek58E9Gq4fhSaYky_4FUAcixYAR7X-Hnk56bq50bluLlZZGcGpCsqAgAM6QKk/dl4/d5/L2dBISEvZ0FBIS9nQSEh/,13,Individual,No
55957,55957,01-10-2019,PA,OPM,First Priority Life PPO,https://findadoctor.bcnepa.com,13,Individual,No
70194,70194,01-10-2019,PA,OPM,Highmark Blue Cross Blue Shield Network,Provdir.highmarkbcbs.com,14,Individual,No
70194,70194,01-10-2019,PA,OPM,Highmark Blue Shield Network,Provdir.highmarkblueshield.com,13,Individual,No
26065,26065,01-10-2019,SC,OPM,BlueEssentials Network,https://www.southcarolinablues.com/links/metallic/providerdirectory,13,Individual,No
14002,14002,01-10-2019,TN,OPM,Network P,www.bcbst.com,13,Individual,No
33602,33602,01-10-2019,TX,OPM,Blue Choice PPO,https://public.hcsc.net/providerfinder/search.do?corpEntCd=TX1,14,Individual,No
40308,40308,01-10-2019,VA,OPM,Regional Preferred Participating Network,https://member.carefirst.com/wps/portal/Member/public/findaprovider,13,Individual,No
88380,88380,01-10-2019,VA,OPM,Pathway X Tiered HospitalÂ  (On),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,Individual,No
88380,88380,01-10-2019,VA,OPM,Pathway X Tiered HospitalÂ  (with Dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,Individual,No
79475,79475,01-10-2019,WI,OPM,Blue Priority X  WI,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,Individual,No
79475,79475,01-10-2019,WI,OPM,Blue Priority X  WI (with dental),https://www.anthem.com,14,Individual,No
31274,31274,01-10-2019,WV,OPM,Highmark PPO,Provdir.highmarkbcbswv.com,13,Individual,No
26904,26904,01-10-2019,AR,SERFF,DenteMax,http://www2.dentemax.com/,13,Individual,No
28348,28348,01-10-2019,AR,SERFF,Delta Dental Premier + Delta Dental PPO,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?DView=DentistDentistSearch,13,Individual,No
28348,28348,01-10-2019,AR,SERFF,Delta Dental Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?DView=DentistDentistSearch,13,Individual,No
31227,31227,01-10-2019,AR,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,14,Individual,No
48168,48168,01-10-2019,AR,SERFF,Ameritas PPO Dental Network,www.ameritasgroup.com,13,Individual,No
53741,53741,01-10-2019,AR,SERFF,Ameritas PPO Dental Network,www.standard.com,13,Individual,No
60559,60559,01-10-2019,AR,SERFF,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,14,Individual,No
62141,62141,01-10-2019,AR,SERFF,NovaSys Health,http://ambetter.ambetterofarkansas.com/findadoc,13,Individual,No
67635,67635,01-10-2019,AR,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,14,Individual,No
70525,70525,01-10-2019,AR,SERFF,Statewide Network,https://www.qualchoice.com/provider-search/searchbyprovider.aspx,13,Individual,No
70525,70525,01-10-2019,AR,SERFF,Central Arkansas High Value Network,https://www.qualchoice.com/provider-search/searchbyprovider.aspx,13,SHOP (Small Group),No
70525,70525,01-10-2019,AR,SERFF,Northwest Arkansas High Value Network,https://www.qualchoice.com/provider-search/searchbyprovider.aspx,13,Individual,No
75293,75293,01-10-2019,AR,SERFF,True Blue PPO,https://secure.arkansasbluecross.com/providerdirectory/PhysicianSearch.aspx?PlanId=7&INbr1=915011000&INbr2=&Tier=0&coID=&PrvNet=True+Blue+PPO&lFrom=,13,Individual,No
75293,75293,01-10-2019,AR,SERFF,True Blue PPO,https://secure.arkansasbluecross.com/providerdirectory/PhysicianSearch.aspx?PlanId=20&INbr1=100000000&INbr2=&Tier=0&coID=&PrvNet=Dental&lFrom,14,Individual,No
13537,13537,01-10-2019,DE,SERFF,CoventryOne PPO,http://de.coventryproviders.com,13,Individual,No
19005,19005,01-10-2019,DE,SERFF,Ameritas PPO Dental Network,www.standard.com,14,Individual,No
26018,26018,01-10-2019,DE,SERFF,Delta Dental PPO,http://www.deltadentalins.com/find-a-dentist/,13,Individual,No
48664,48664,01-10-2019,DE,SERFF,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,13,Individual,Yes
61298,61298,01-10-2019,DE,SERFF,Ameritas PPO Dental Network,www.ameritasgroup.com,13,SHOP (Small Group),Yes
67775,67775,01-10-2019,DE,SERFF,Dominion Dental DHMO,https://www.dominiondental.com/find-a-dentist,13,Individual,Yes
67775,67775,01-10-2019,DE,SERFF,Dominion Dental PPO,https://www.dominiondental.com/find-a-dentist,14,Individual,Yes
76168,76168,01-10-2019,DE,SERFF,Highmark DE PPO,https://provdir.highmarkbcbsde.com,13,SHOP (Small Group),Yes
81914,81914,01-10-2019,DE,SERFF,CoventryOne HMO,http://de.coventryproviders.com,13,SHOP (Small Group),Yes
90955,90955,01-10-2019,DE,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),Yes
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By Methodist Health Partners,http://ia.coventryproviders.com,13,SHOP (Small Group),Yes
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By Alegent Creighton Health,http://ia.coventryproviders.com,13,Individual,Yes
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By Patient Preferred,http://ia.coventryproviders.com,13,Individual,No
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By UnityPoint Health Des Moines,http://ia.coventryproviders.com,13,SHOP (Small Group),Yes
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By UnityPoint Health,http://ia.coventryproviders.com,13,Individual,No
18973,18973,01-10-2019,IA,SERFF,Coventry Health Care of Iowa,http://ia.coventryproviders.com,14,Individual,No
18973,18973,01-10-2019,IA,SERFF,Carelink Powered By MIPPA,http://ia.coventryproviders.com,15,Individual,No
27651,27651,01-10-2019,IA,SERFF,GundersenSelectSHOP,www.gundersenhealthplan.org/providersearch,13,SHOP (Small Group),No
27651,27651,01-10-2019,IA,SERFF,GundersenPlusSHOP,www.gundersenhealthplan.org/providersearch,13,Individual,No
27651,27651,01-10-2019,IA,SERFF,GundersenOneIndividual,www.gundersenhealthplan.org/providersearch,13,SHOP (Small Group),Yes
50730,50730,01-10-2019,IA,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,Individual,Yes
52391,52391,01-10-2019,IA,SERFF,Ameritas PPO Dental Network,www.ameritasgroup.com,13,Individual,No
57646,57646,01-10-2019,IA,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,SHOP (Small Group),Yes
63366,63366,01-10-2019,IA,SERFF,Premier,www.deltadentalia.com/provider-search/dental/,13,SHOP (Small Group),Yes
63366,63366,01-10-2019,IA,SERFF,PPO plus Premier,www.deltadentalia.com/provider-search/dental/,13,Individual,Yes
71051,71051,01-10-2019,IA,SERFF,DenteMax,http://www2.dentemax.com/,13,SHOP (Small Group),Yes
71268,71268,01-10-2019,IA,SERFF,CoOportunity Premier,www.cooportunityhealth.com/providersearch,13,Individual,Yes
71268,71268,01-10-2019,IA,SERFF,CoOportunity Choice UI Health Alliance,www.cooportunityhealth.com/providersearch,13,SHOP (Small Group),Yes
71268,71268,01-10-2019,IA,SERFF,CoOportunity Preferred UI Health Alliance,www.cooportunityhealth.com/providersearch,13,Individual,Yes
74980,74980,01-10-2019,IA,SERFF,Avera Health Plans,www.Avera.org/ProviderDirectory,13,SHOP (Small Group),Yes
77638,77638,01-10-2019,IA,SERFF,Health Alliance HMO/POS Network,https://www.healthalliance.org/Guests/ProviderSearch?DirectoryName=NEX,14,SHOP (Small Group),Yes
85930,85930,01-10-2019,IA,SERFF,Sanford Health Plan Iowa Network,https://www.viiad.com/shp/provider_search_main.asp,14,Individual,Yes
10204,10204,01-10-2019,ID,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),No
17859,17859,01-10-2019,ID,SERFF,DenteMax,http://www2.dentemax.com/,13,Individual,No
26002,26002,01-10-2019,ID,SERFF,SelectHealth,http://intermountainhealthcare.org/providers/results.html?brand=shi&brandButton=shi&selectHealthPlan=&lastName=&specialty=&state=ID&city=&zipCode=&county=&firstName=&clinicAffiliation=&_showOnlyStLukeProviders=on&x=80&y=13,13,SHOP (Small Group),No
46641,46641,01-10-2019,ID,SERFF,PPO,go.deltadentalid.com/providerdirectory,13,Individual,No
59765,59765,01-10-2019,ID,SERFF,Exchange Local PPO Network,www.bridgespanhealth.com,13,SHOP (Small Group),Yes
60597,60597,01-10-2019,ID,SERFF,SmartHealth,http://providerdirectory.pacificsource.com,13,Individual,No
60597,60597,01-10-2019,ID,SERFF,BrightPath,http://providerdirectory.pacificsource.com,14,Individual,No
60597,60597,01-10-2019,ID,SERFF,SmartAlliance,http://providerdirectory.pacificsource.com,15,Individual,No
60597,60597,01-10-2019,ID,SERFF,Dental Advantage,http://providerdirectory.pacificsource.com,16,Individual,No
60597,60597,01-10-2019,ID,SERFF,Dental Indemnity,http://providerdirectory.pacificsource.com,17,Individual,No
61589,61589,01-10-2019,ID,SERFF,PPO,www.bcidaho.com/PPO,18,Individual,No
61589,61589,01-10-2019,ID,SERFF,Connected Care Southwest,www.bcidaho.com/SaintAlphonsus,19,Individual,No
61589,61589,01-10-2019,ID,SERFF,Connected Care East,www.bcidaho.com/Portneuf,13,SHOP (Small Group),No
61589,61589,01-10-2019,ID,SERFF,Dental PPO,www.bcidaho.com/DentalPPO,14,SHOP (Small Group),No
61589,61589,01-10-2019,ID,SERFF,POS,www.bcidaho.com/POS,15,Individual,No
88257,88257,01-10-2019,ID,SERFF,Ameritas PPO Dental Network,www.standard.com,13,SHOP (Small Group),Yes
18715,18715,01-10-2019,IL,SERFF,Dentegra Dental PPO,http://www.dentegra.com/find-a-dentist,13,SHOP (Small Group),Yes
20129,20129,01-10-2019,IL,SERFF,Health Alliance HMO POS Network,https://www.healthalliance.org/Guests/ProviderSearch?DirectoryName=IEX,13,SHOP (Small Group),Yes
35670,35670,01-10-2019,IL,SERFF,PPO Network,http://ilmo.coventryproviders.com,13,SHOP (Small Group),Yes
35670,35670,01-10-2019,IL,SERFF,Carelink from Coventry Network,http://ilmo.coventryproviders.com,14,Individual,Yes
36096,36096,01-10-2019,IL,SERFF,BlueCare Dental PPO,https://public.hcsc.net/providerfinder/search.do?corpEntCd=IL1,14,SHOP (Small Group),Yes
75159,75159,01-10-2019,IL,SERFF,Ameritas PPO Dental Network,www.ameritasgroup.com,13,SHOP (Small Group),Yes
79763,79763,01-10-2019,IL,SERFF,Land of Lincoln Mutual Health Insurance Company,https://www.landoflincolnhealth.org/find-a-doctor/,13,Individual,Yes
83350,83350,01-10-2019,IL,SERFF,EHB Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,13,Individual,No
83350,83350,01-10-2019,IL,SERFF,EHB Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,13,SHOP (Small Group),No
83350,83350,01-10-2019,IL,SERFF,Family Basic Dental Plan (Low),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,14,Individual,No
83350,83350,01-10-2019,IL,SERFF,Family Enhanced Dental Plan (High),https://metlocator.metlife.com/metlocator/execute/Search?searchType=findDentistHCR_IL&planType=DPPO&networkID=2,14,SHOP (Small Group),No
84033,84033,01-10-2019,IL,SERFF,DenteMax,http://www2.dentemax.com/,15,Individual,No
85099,85099,01-10-2019,IL,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,15,SHOP (Small Group),No
86600,86600,01-10-2019,IL,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,SHOP (Small Group),No
87304,87304,01-10-2019,IL,SERFF,First Commonwealth,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,Individual,No
96601,96601,01-10-2019,IL,SERFF,PPO Network,http://il.coventryproviders.com,13,SHOP (Small Group),No
96601,96601,01-10-2019,IL,SERFF,Select Network,http://il.coventryproviders.com,13,SHOP (Small Group),No
96601,96601,01-10-2019,IL,SERFF,Carelink from Coventry SwedishAmerican Network,http://il.coventryproviders.com,13,SHOP (Small Group),Yes
96601,96601,01-10-2019,IL,SERFF,Carelink from Coventry Methodist Network,http://il.coventryproviders.com,13,Individual,Yes
96601,96601,01-10-2019,IL,SERFF,Carelink from Coventry St. John's Network,http://il.coventryproviders.com,13,SHOP (Small Group),Yes
18558,18558,01-10-2019,KS,SERFF,BlueCAP,http://www.bcbsks.com/ProviderDirectory/index_xse.htm,13,Individual,No
18558,18558,01-10-2019,KS,SERFF,BlueCAP Select,http://www.bcbsks.com/ProviderDirectory/index_xsl.htm,13,SHOP (Small Group),No
18558,18558,01-10-2019,KS,SERFF,BlueChoice,http://www.bcbsks.com/ProviderDirectory/index_xsb.htm,13,Individual,Yes
18558,18558,01-10-2019,KS,SERFF,BlueChoice Select,http://www.bcbsks.com/ProviderDirectory/index_xsf.htm,13,Individual,No
31098,31098,01-10-2019,KS,SERFF,Ameritas PPO Dental Network,www.ameritasgroup.com,13,SHOP (Small Group),No
61430,61430,01-10-2019,KS,SERFF,PPO Exchange,http://ks.coventryproviders.com,13,Individual,No
61779,61779,01-10-2019,KS,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,14,Individual,No
63790,63790,01-10-2019,KS,SERFF,BEST Life Dental Networks,http://www.bestlife.com/KS/index.html,14,SHOP (Small Group),No
65598,65598,01-10-2019,KS,SERFF,POS Kansas Exchange,http://ks.coventryproviders.com,16,Individual,No
65598,65598,01-10-2019,KS,SERFF,POS Wesley Exchange,http://ks.coventryproviders.com,16,SHOP (Small Group),No
81711,81711,01-10-2019,KS,SERFF,Delta Dental PPO,http://www.deltadentalcoversme.com/dentistsearch?entry=exchange1,17,Individual,Yes
81711,81711,01-10-2019,KS,SERFF,Delta Dental PPO (SHOP),http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B20,18,SHOP (Small Group),Yes
81711,81711,01-10-2019,KS,SERFF,Delta Dental Premier,http://www.deltadental.com/DentistSearch/DentistSearchController.ccl?ViewProduct=B01,13,Individual,No
86246,86246,01-10-2019,KS,SERFF,Ameritas PPO Dental Network,www.standard.com,13,SHOP (Small Group),No
94248,94248,01-10-2019,KS,SERFF,Preferred Care Blue,http://www.bluekc.com/ExchangeNetwork,14,SHOP (Small Group),No
94248,94248,01-10-2019,KS,SERFF,BlueSelect,http://www.bluekc.com/ExchangeNetwork,14,Individual,No
13808,13808,01-10-2019,ME,SERFF,Lincoln Dental Connect,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,15,Individual,No
33653,33653,01-10-2019,ME,SERFF,MCHO Statewide Network,http://www.maineoptions.org/Search-provider,15,SHOP (Small Group),No
47540,47540,01-10-2019,ME,SERFF,Ameritas PPO Dental Network,www.standard.com,16,Individual,Yes
48396,48396,01-10-2019,ME,SERFF,Pathway X Enhanced,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,16,SHOP (Small Group),Yes
48396,48396,01-10-2019,ME,SERFF,Dental Complete,www.Anthem.com,17,SHOP (Small Group),No
48396,48396,01-10-2019,ME,SERFF,Pathway X,https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,SHOP (Small Group),Yes
48396,48396,01-10-2019,ME,SERFF,Pathway X Enhanced (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,SHOP (Small Group),Yes
48396,48396,01-10-2019,ME,SERFF,Pathway X (with dental),https://www.anthem.com/health-insurance/provider-directory/searchcriteria?brand=abcbs,13,Individual,Yes
50165,50165,01-10-2019,ME,SERFF,Delta Dental PPO,http://www.nedelta.com/localdentistsearch,13,Individual,No
69227,69227,01-10-2019,ME,SERFF,DentalGuard Preferred,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,SHOP (Small Group),No
